ID,Preço,Variação,Variação (%),Horário
PSSA3,R$ 48,18,+1,01 Hoje,2,14%,22/01/2026 - 12:12:46
PTBL3,R$ 3,35,+0,15 Hoje,4,69%,22/01/2026 - 12:12:57
PTNT3,R$ 8,63,+0,35 Hoje,4,23%,22/01/2026 - 12:13:07
QUAL3,R$ 2,39,+0,090 Hoje,3,91%,22/01/2026 - 12:13:17
RADL3,R$ 25,38,-0,26 Hoje,1,01%,22/01/2026 - 12:13:27
RAIL3,R$ 14,22,+0,17 Hoje,1,21%,22/01/2026 - 12:13:37
RANI3,R$ 9,30,+0,17 Hoje,1,86%,22/01/2026 - 12:13:47
RAPT3,R$ 6,62,-0,070 Hoje,1,05%,22/01/2026 - 12:13:57
RCSL3,R$ 3,15,+0,030 Hoje,0,96%,22/01/2026 - 12:14:07
RDOR3,R$ 42,65,+1,60 Hoje,3,90%,22/01/2026 - 12:14:19
RECV3,R$ 10,90,-0,080 Hoje,0,73%,22/01/2026 - 12:14:29
REDE3,R$ 6,19,-0,0100 Hoje,0,16%,22/01/2026 - 12:14:39
RENT3,R$ 43,94,+1,32 Hoje,3,10%,22/01/2026 - 12:14:50
RRIOS,info,ÍNDICE,,22/01/2026 - 12:14:59
RNEW3,R$ 1,00,-0,010 Hoje,0,99%,22/01/2026 - 12:15:09
ROMI3,R$ 8,24,+0,15 Hoje,1,85%,22/01/2026 - 12:15:18
RPAD3,R$ 5,30,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:15:28
RPMG3,R$ 2,08,0,00 Hoje,0,00%,22/01/2026 - 12:15:38
RSID3,R$ 1,86,1 dia,22 de jan., 11:44:41 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:15:47
RVEE3,R$ 1,69,1 dia,22 de jan., 11:47:17 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:15:56
SANB3,R$ 16,98,+0,23 Hoje,1,37%,22/01/2026 - 12:16:06
SAPR3,R$ 10,18,+0,090 Hoje,0,89%,22/01/2026 - 12:16:16
SBFG3,R$ 14,33,+0,46 Hoje,3,32%,22/01/2026 - 12:16:25
SBSP3,R$ 133,37,+2,55 Hoje,1,95%,22/01/2026 - 12:16:35
SCAR3,R$ 14,22,+0,20 Hoje,1,43%,22/01/2026 - 12:16:45
SEER3,R$ 11,19,+0,42 Hoje,3,90%,22/01/2026 - 12:16:55
SEQL3,R$ 1,88,-0,030 Hoje,1,57%,22/01/2026 - 12:17:05
SHOW3,R$ 6,40,+0,040 Hoje,0,63%,22/01/2026 - 12:17:14
SIMH3,R$ 5,97,+0,12 Hoje,2,05%,22/01/2026 - 12:17:24
SLCE3,R$ 15,49,+0,0100 Hoje,0,065%,22/01/2026 - 12:17:33
